City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Sola,VU,2021-01-14 12:36:12,-13.8833,167.55,78.8,94,20,10.29
67,Bereda,ES,2021-01-14 12:36:13,43.2686,-7.5406,46.99,100,99,1.99
68,Talnakh,RU,2021-01-14 12:31:57,69.4865,88.3972,-34.73,78,6,3.98
69,Yeppoon,AU,2021-01-14 12:33:11,-23.1333,150.7333,75.2,73,0,5.75
70,Ribeira Grande,PT,2021-01-14 12:30:22,38.5167,-28.7,64.4,88,75,19.57
71,Luderitz,NA,2021-01-14 12:32:36,-26.6481,15.1594,70.75,65,74,13.31
72,Port Hardy,CA,2021-01-14 12:30:00,50.6996,-127.4199,42.8,93,90,25.32
73,Meulaboh,ID,2021-01-14 12:33:52,4.1363,96.1285,76.28,82,100,7.25
74,Vao,NC,2021-01-14 12:31:29,-22.6667,167.4833,77.29,88,100,16.42
75,Tilichiki,RU,2021-01-14 12:33:58,60.4667,166.1,-24.95,85,0,7.29
76,Hilo,US,2021-01-14 12:31:55,19.7297,-155.09,68.0,64,20,6.91
77,Kodiak,US,2021-01-14 12:30:04,57.79,-152.4072,37.4,70,40,20.71
78,Kaitangata,NZ,2021-01-14 12:32:49,-46.2817,169.8464,61.0,90,79,4.0
79,Dikson,RU,2021-01-14 12:32:47,73.5069,80.5464,-27.87,79,0,3.18
80,Belle Fourche,US,2021-01-14 12:32:19,44.6714,-103.8522,32.0,37,1,37.98
81,Grand Gaube,MU,2021-01-14 12:32:47,-20.0064,57.6608,84.0,69,3,8.99
82,Rio Grande,BR,2021-01-14 12:35:45,-32.035,-52.0986,77.0,57,40,13.8
83,Geraldton,AU,2021-01-14 12:32:32,-28.7667,114.6,77.0,73,55,13.8
84,Georgetown,MY,2021-01-14 12:29:18,5.4112,100.3354,86.0,66,20,3.44
85,El Dorado,US,2021-01-14 12:36:18,38.7666,-120.5177,53.6,28,1,10.36
86,New Norfolk,AU,2021-01-14 12:31:51,-42.7826,147.0587,57.99,54,15,1.01
87,La Paz,BO,2021-01-14 12:34:48,-16.5,-68.15,44.6,87,75,5.75
88,College,US,2021-01-14 12:32:38,64.8569,-147.8028,-9.4,77,40,1.61
89,Tuatapere,NZ,2021-01-14 12:32:41,-46.1333,167.6833,59.0,94,29,10.0
90,Quimper,FR,2021-01-14 12:36:20,48.0,-4.1,50.0,87,75,19.57
91,Sur,OM,2021-01-14 12:36:20,22.5667,59.5289,72.43,57,0,11.56
92,Castro,BR,2021-01-14 12:31:56,-24.7911,-50.0119,72.46,76,55,10.94
93,Culebra,PR,2021-01-14 12:36:20,18.303,-65.301,78.8,73,40,17.27
94,Hermanus,ZA,2021-01-14 12:31:56,-34.4187,19.2345,91.0,54,0,5.99
95,Fukue,JP,2021-01-14 12:36:21,32.6881,128.8419,56.77,59,100,8.03
96,Victoria,HK,2021-01-14 12:29:53,22.2855,114.1577,60.01,54,7,5.86
97,Pevek,RU,2021-01-14 12:32:05,69.7008,170.3133,-15.83,89,28,4.05
98,Necochea,AR,2021-01-14 12:36:22,-38.5473,-58.7368,71.01,67,0,14.52
99,Bengkulu,ID,2021-01-14 12:32:13,-3.8004,102.2655,79.21,83,100,2.55
100,Severo-Kurilsk,RU,2021-01-14 12:36:22,50.6789,156.125,23.56,91,87,14.38
101,Souillac,MU,2021-01-14 12:32:03,-20.5167,57.5167,82.4,69,40,11.5
102,Kropotkin,RU,2021-01-14 12:32:29,45.4375,40.5756,39.38,73,100,1.45
103,Ngaoundere,CM,2021-01-14 12:36:23,7.3167,13.5833,87.96,13,100,7.81
104,Nanortalik,GL,2021-01-14 12:32:39,60.1432,-45.2371,26.26,95,86,6.98
105,Qasigiannguit,GL,2021-01-14 12:36:23,68.8193,-51.1922,21.2,86,75,5.75
106,Hithadhoo,MV,2021-01-14 12:28:17,-0.6,73.0833,82.15,76,98,20.98
107,Aksu,CN,2021-01-14 12:33:31,41.1231,80.2644,24.64,74,0,6.15
108,Aklavik,CA,2021-01-14 12:34:01,68.2191,-135.0107,-14.8,76,99,5.12
109,Calabozo,VE,2021-01-14 12:33:35,8.9242,-67.4293,78.66,66,11,10.49
110,Kabare,CD,2021-01-14 12:36:24,-2.4683,28.8242,63.88,86,100,3.87
111,Itarema,BR,2021-01-14 12:33:31,-2.9248,-39.9167,85.1,62,86,13.71
112,Half Moon Bay,US,2021-01-14 12:33:04,37.4636,-122.4286,57.99,87,1,7.56
113,Biak,ID,2021-01-14 12:33:12,-0.9131,122.8766,78.42,82,100,3.51
114,Kidal,ML,2021-01-14 12:36:25,18.4411,1.4078,89.04,11,0,6.93
115,Hasaki,JP,2021-01-14 12:32:02,35.7333,140.8333,48.2,76,20,4.61
116,Sitka,US,2021-01-14 12:30:58,57.0531,-135.33,41.0,70,75,13.8
117,Phon Thong,TH,2021-01-14 12:36:26,16.3016,103.9768,71.6,56,0,3.44
118,Tura,IN,2021-01-14 12:33:46,25.5198,90.2201,57.67,53,1,3.0
119,Jamestown,US,2021-01-14 12:30:33,42.097,-79.2353,35.01,93,90,5.75
120,Alyangula,AU,2021-01-14 12:33:13,-13.8483,136.4192,80.6,94,100,4.88
121,Saint-Pierre,RE,2021-01-14 12:30:07,-21.3393,55.4781,86.0,70,75,12.66
122,Kapaa,US,2021-01-14 12:32:01,22.0752,-159.319,71.6,78,90,8.05
