City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Punta Arenas,CL,-53.15,-70.9167,50.0,81,75,11.5,broken clouds
80,Torbay,CA,47.6666,-52.7314,34.0,100,90,14.97,fog
81,Plover,US,44.4564,-89.544,30.0,86,90,4.61,overcast clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,73.99,96,7,1.99,clear sky
83,Simav,TR,39.0882,28.9777,28.4,86,75,4.61,broken clouds
84,Ramgarh,IN,23.6333,85.5167,69.8,43,10,3.44,haze
85,Saint-Philippe,RE,-21.3585,55.7679,87.8,62,0,8.05,clear sky
86,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.24,86,0,12.21,clear sky
87,Zhezkazgan,KZ,47.8043,67.7144,15.8,86,90,4.47,fog
88,Murwara,IN,23.85,80.4,76.89,19,0,6.44,clear sky
89,Sabla,NG,12.7525,4.7077,66.79,23,0,9.31,clear sky
90,Yertarskiy,RU,56.7902,64.2995,13.41,94,99,10.2,overcast clouds
91,Chokurdakh,RU,70.6333,147.9167,-19.28,88,100,11.16,overcast clouds
92,Itupiranga,BR,-5.1347,-49.3267,73.4,100,40,2.3,light rain
93,Kruisfontein,ZA,-34.0033,24.7314,75.0,66,91,8.01,light rain
94,Saint George,US,37.1041,-113.5841,46.4,42,1,3.62,clear sky
95,Redmond,US,47.674,-122.1215,44.01,95,100,0.83,overcast clouds
96,Pavlodar,KZ,52.3,76.95,21.2,86,90,15.66,snow
97,Bredasdorp,ZA,-34.5322,20.0403,68.0,73,0,4.61,clear sky
98,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,78,90,5.75,light snow
99,Cabo San Lucas,MX,22.8909,-109.9124,57.99,65,0,8.28,clear sky
100,Grand-Lahou,CI,5.1367,-5.0242,77.83,86,0,4.85,clear sky
101,Cidreira,BR,-30.1811,-50.2056,73.18,89,100,6.87,overcast clouds
102,San Roque,ES,36.2107,-5.3842,55.4,82,75,12.66,broken clouds
