City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
494,Mutuipe,BR,67.08,overcast clouds,-13.2286,-39.5047,Hotel Portal do Vale
495,Kushima,JP,51.8,broken clouds,31.4583,131.2333,Hanaoka
496,Dilla,ET,75.18,overcast clouds,6.41,38.31,Afomiya Pension
497,Alice Springs,AU,80.6,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
498,Hokitika,NZ,58.01,moderate rain,-42.7167,170.9667,Beachfront Hotel Hokitika
499,Orocue,CO,73.87,clear sky,4.7912,-71.3354,Hotel Brisas de San Miguel
500,Boende,CD,71.8,light rain,-0.2167,20.8667,
502,Iquique,CL,69.8,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
503,Carupano,VE,74.73,light rain,10.6678,-63.2585,Hotel La dorada
505,Canoinhas,BR,66.43,overcast clouds,-26.1772,-50.39,Santa Catarina Plaza Hotel
510,Morondava,MG,85.98,overcast clouds,-20.2833,44.2833,La Case Bambou
516,Mundo Nuevo,MX,68.56,overcast clouds,18.7,-95.5,
517,Agadez,NE,55.96,clear sky,19.75,10.25,
518,Pontianak,ID,89.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
521,Sambava,MG,85.6,overcast clouds,-14.2667,50.1667,Melrose
522,Taltal,CL,61.81,scattered clouds,-25.4,-70.4833,Residencial Karime
525,Nichinan,JP,51.8,broken clouds,31.6,131.3667,Guest House Aki
526,Lichtenburg,ZA,75.99,clear sky,-26.152,26.1597,Kennzy Guest House
527,Kasongo,CD,72.45,overcast clouds,-4.45,26.6667,Guest Hôtel
529,Kailua,US,75.2,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
531,Innisfail,AU,73.99,light rain,-17.5333,146.0333,Moondarra Motel
533,Anajatuba,BR,72.93,overcast clouds,-3.2644,-44.6197,Pousada Por do Sol
534,Ponnani,IN,87.8,scattered clouds,10.767,75.9252,Rouba Residency
535,Tombouctou,ML,54.18,overcast clouds,20.0,-3.0,
537,Chimoio,MZ,77.0,broken clouds,-19.1164,33.4833,Predio Livraria Ahmed
538,Mahajanga,MG,89.6,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
540,Alta Floresta,BR,70.59,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
541,Hurghada,EG,57.2,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
544,Terra Santa,BR,73.87,overcast clouds,-2.1042,-56.4869,Hotel Sarah
546,Pililla,PH,86.0,overcast clouds,14.4854,121.3062,Keno's Lodge Tanay Rizal
547,Santiago De Cao,PE,69.89,broken clouds,-7.9589,-79.2392,Villa Konecta - Alojamiento Familiar
551,Lagoa,PT,61.95,overcast clouds,39.05,-27.9833,Casa Das Faias
552,Nouadhibou,MR,60.8,sand,20.931,-17.0347,El Medina
553,San Blas,MX,64.17,overcast clouds,21.5167,-105.2667,Hotel Posada del Rey
554,Jalingo,NG,76.57,clear sky,8.8833,11.3667,Debright Motel
558,Buraydah,SA,57.2,clear sky,26.326,43.975,Mövenpick Hotel Qassim
561,Junqueiropolis,BR,70.99,light rain,-21.5147,-51.4336,Vilarejo
562,Winburg,ZA,75.7,clear sky,-28.518,27.0093,Hotel Winburg
563,Vangaindrano,MG,86.95,broken clouds,-23.35,47.6,Hotel Fanilo
564,Huarmey,PE,71.22,overcast clouds,-10.0681,-78.1522,Hotel Miramar
565,Kissidougou,GN,61.11,overcast clouds,9.1848,-10.0999,Hôtel Mantis
567,Bahia Blanca,AR,58.68,clear sky,-38.7196,-62.2724,Hotel Argos
568,Ngunguru,NZ,71.01,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
569,Jalu,LY,53.04,clear sky,29.0331,21.5482,صاحبة الفخامة
571,Hambantota,LK,86.0,scattered clouds,6.1241,81.1185,Bungalow 63
572,Arlit,NE,67.15,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
573,Quatre Cocos,MU,86.0,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
574,Lahijan,IR,51.8,scattered clouds,37.2061,50.0029,Markazi hotel
577,San Policarpo,PH,81.95,overcast clouds,12.1791,125.5072,JM Lodge
578,Bubaque,GW,75.43,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
581,Lavumisa,SZ,73.06,overcast clouds,-27.31,31.892,ROADSIDE B&B
582,Xuddur,SO,82.06,clear sky,4.1213,43.8894,Banjanay Hotel
583,Sinnamary,GF,77.2,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
584,Purnia,IN,75.22,scattered clouds,25.7833,87.4667,Hotel Hira Residency
585,Kodlipet,IN,81.32,broken clouds,12.8,75.8833,OYO Home 26658 Sky View Studios
586,Tomatlan,MX,67.68,overcast clouds,19.9333,-105.25,Norma franco
588,Potiskum,NG,67.06,clear sky,11.7091,11.0694,Tamir Hotel Ltd
589,Jacareacanga,BR,71.78,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
590,Pisco,PE,66.99,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
592,Mahibadhoo,MV,81.84,clear sky,3.7833,72.9667,Omadhoo Inn
